,text,Explanations,labels
86," ""Why doesn’t it go away no matter what I do? I put on a smile and go about being this functional person in society but it’s all a lie. Inside my head I’m struggling with every single daily task and interaction."" ","Functional, struggling, task",0
87,"""I live alone, and feel like there is no point to life without her."" ","live alone, feel like there is no point to life,",4
88,"“A lot of that stems from me being the primary income earner (working long and hard hours) and then carrying a big household load as well (cooking, shopping etc).”","Income, earner, working, hard hours, load",1
89,"“haven't grown as a person or matured. I hate how I speak and type, I feel so stupid and sound so dumb”","hate how I speak and type, feel so stupid, sound so dumb,",0
90,"“I wish I could touch her, I just want to say that I taped her voicemail so wen I need to hear her voice I can , makes me sad but makes me laugh as my mum had a good sense of humour and her voicemail is funny.”","Wish I could touch her, need to hear her voice,",4
91,“C-PTSD was triggered by bullying in my workplace from 2008 until 2014.”,"Bullying, workplace",1
92,"""It feels like his depression has skyrocketed to the point I'm scared he might seriously harm himself.""","depression has skyrocketed, seriously harm",5
93,"“I was sexually abused by my cousins when I was younger, but I don't know if this is the cause of it, due to not having any memories of that time.”","sexually abused, cause of it, not having any memories,",3
94,"""I’m tired of having the generic discussions with mental health professionals and family.""","Tired of having the generic discussions with mental health professionals and family,",4
95,"“the argument expands and we don’t talk for days.Yes,I love her and she is a beautiful person ”","We don’t talk for days, ",4
96,"""I'm not sure how long my work will put up with me like this, and I guess that also adds to my stress.""","Stress, work",1
97,"""at times I feel empty, sad.""","feel empty, sad,",5
98,"""I'm not coping well barely eating or showering.""","not coping well, barely eating or showering, ",3
99,"""I'm in a really bad personal and family financial situation and my parents are going through a divorce.""",really bad personal and family financial situation,1
100,"I have lots of ideas and thoughts of things to do but never follow through and just wallow in self pity and feeling restricted and limited in what I can do having to compromise ","Ideas, thoughts, wallow in self pity, limited",0
101,"“I feel like I'm constantly acting. I don't know who I am and how I really feel about things. I recently got diagnosed with severe anxiety and depression. And I'm afraid I'm going to make this my whole “life story"" instead of just living life like everyone else.”","Severe anxiety and depression, feel like I’m constantly acting,",5
102,"“I am currently on a range of medications antidepressants, antipsychotics and mood stabilisers as I have suspected bipolar and experience intense hyper mania and depressive episodes.”","range of medications antidepressants, antipsychotics and mood stabilisers, suspected bipolar, experience intense hyper mania and depressive episodes,",3
103,“When people make one single mistake I tend to run and hide because my past friends have bullied me and made me the butt of the joke.”,"Tend to run and hide, past friends have bullied me, make me the butt of the joke, ",4
104,"“I just don't know what's normal but something is telling me that I shouldn't be crying like this & feeling worse, its bringing up past traumas of 'keeping quiet'.”","crying, feeling worse, traumas, keeping quiet",5
105,"""I have been trying to find a partner which has been the source of countless rejection.""","Trying to find a partner, source of countess rejection,",4
106,“I want to give up DSP which I know is impossible to get for start but then if approved I'm screwed financially and have to give up up my rental and change the remaining things that spark any joy (hobbies that cost money).”,"Screwed, financially, impossible, money",1
107,“I feel so alone. And completely empty & I don’t know how to fix this.”    ,"feel so alone, completely empty, don’t know how to fix this",4
108,“I feel like I am losing my mind and myself. I have no joy and my soul is exhausted. I haven’t even smiled on the last three days. I am being completely ruined by my driving anxiety.”,"feel like I am losing my mind and myself, have no joy, soul is exhausted, haven’t even smiled, being completely ruined by my driving anxiety,",5
109,"“I work from 7:30am to evening, and just seems like I can't do anything with the money I earn besides pay bills, buy groceries, and rent an apartment.”","Money, earn bills",1
110,"""I had two family members die within a few days of each other.""","had two family members die,",4
111,“I'm struggling with some of the abusive and violent language from last night. Further I have not spent a night away from my son or daughter since I moved in 5 years ago. I can’t imagine not living in the same house as them.”,"Struggling with some of the abusive and violent language from last night, can’t imagine not living in the same house as them,",4
112,"""I have a good job, good family yet I increasingly feel like I don’t know what makes me who I am.""", Don’t know,0
113,"“I have post trauma stress disorder since i was three or four I experienced abuse, trauma, hurt people tried to hurt me in a painful way in the physically way is not okay.”","post trauma stress disorder, hurt me in a painful way, physically",3
114,"“I feel this is the massive wake up call I need but I also feel it’s just too late.""","massive wake up call, feel it’s just too late",2
115,"“Since then I've been forced to isolate due to extreme bullying, harassment, and psychological abuse, and gaslighted that it’s all in my head.”","Forced to isolate, bullying, harassment, and psychological abuse, gaslighted,",4
116,“I still have anxiety about leaving my home & also living with someone which I haven't done in 10 yrs.”,"living with someone which I haven't done in 10 yrs.,",4
117,"""I feel guilty about my past, like I was a bad person.""",feel guilty about my past,5
118,"""Today I found the loss of my mum quite shit to say the least. My mum passed in 2017, so the grief is still pretty raw.""","loss of my mum, mum passed, grief is still pretty raw",5
119,"""I am glad my brain isn't like that, but sometimes I wish I could fit in.""","I wish I could fit in,",4
120,"“We have regular occurrences of him just breaking down in tears, saying he doesn't want to be alive, and he just wants it all to be over. He feels guilty about the effect it's having on me and wants me to be able to get on with my life.”","breaking down in tears, doesn't want to be alive,  feels guilty, able to get on with my life,",2
121,"“I have had enough , well and truly reached my limit. though plotting suicide does calm me a bit. Life shouldn’t be like this.”","have had enough, reached my limit, plotting suicide, Life shouldn’t be like this,",5
122,"“I suspect that my partner has a sport betting/gambling addiction. He's taking loans behind my back and has multiple apps that let you make sport bets. I don't know what to do, when I confronted him he keeps denying everything.   I am so lost and lonely.”","Lost and lonely,",4
123,"“The love of my life, my soul mate my reason for living passed while i was cuddling her and I just can not make things right in my world.”","passed, cannot make things right in my world,",2
124,"“i constantly think about her and helping her every day has taken a massive toll on me, i find it hard to talk to anyone about it because at the end of the day it doesn't change anything, and im worried because it is now physically making me sick,”","physically making me sick,",3
125,"“She said she was feeling emotionally numb and sometimes cries for no reason. She feels more emotional over things and sometimes just doesn't care about anything at all.""","feeling emotionally numb, cries for no reason, feels more emotional over things, doesn't care about anything at all,",5
126,“I get so overwhelmingly heavy is the only way to describe it. Like something is sitting in my chest and stomach and I just don't want to move. Then I think maybe I am faking it.”,"get so overwhelmingly heavy, something is sitting in my chest and stomach, don't want to move, faking it,",5
127,"""Work stuff I just can't talk right, others are fine but I'm crap, but non-work stuff is okay.""","Work, crap",1
128,"my brain keeps trying to tell me that I've failed to step up when it's a stressful workplace and people need me. ","failed to step up, stressful workplace",1
129,“I had a psychologist but I just wouldn’t show up to the appointments I was either in bed depressed or thinking I was fine and don’t need to go. I don’t see the point in anything what so ever.”,"in bed depressed, ",3
130,"“i'm just suffocating in my own life, my own body.” ",suffocating in my own life,2
131,“I feel as if I am made of glass and can no longer push through or shrug things off like I used to.”,"can no longer push, shrug things off",2
132,"“The rest of the relationship is great, but I just miss the intimacy of touch, not even just the sex part. We’ve talked about it (didn’t really come to any conclusions though) but I still find myself dwelling on it and wanting more.”","Miss the intimacy of touch, find myself dwelling on it and wanting more, ",4
133,"“I have recently split from a 7 year relationship from what I now believe is a malignant narcissist. I am feeling damaged and empty, and also generally anxious and scared. I made the decision and it took 4 months to get him to actually leave the home.”","Split from a 7 year relationship, malignant narcissist, feeling damaged and empty, ",4
134,“I’m really struggling at the moment. I don’t have any real supports around me that I can talk to about this and I don’t see my psychologist for another two weeks. My older brother sexually abused me over a long period of time when I was younger.”,"Don’t have any real supports around me that I can talk to about this,",4
135,“I feel like there is something wrong with me all the time whether it be psychological or physical i have no idea. I feel worried a lot”,"Feel worried a lot,",3
136,"“I was still struggling with the fact I'm a single mum to 2 kids suddenly then 3 days ago, I found out he had sex 3 weeks ago with someone who has been his friend for a long time and in her own relationship. She came to visit me the night he was arrested to support me which has messed with my head even more now knowing this.”","Single mum, ",4
137,"“Even within my healthcare career, so many employers, coworkers, patients, social workers and the big decision makers have disregarded the contribution that I have made to my work and to their community so much and so often.”","Employers, coworkers, disregarded, contribution, work, community",1
138,"""my wig is too hot and feel like it's making it worse... my hair loss making my social anxiety worse too."" ","Social anxiety worse, hair loss, making it worse,",3
139,I can start a new activity or hobby only for me to hyper-fixate and get myself burnt out and wasting a lot of time and money that I really shouldn't be spending. I overthink things and that affects my enjoyment of the activities I do.,"Activity, hyper-fixate burnt out, wasting, overthink, affects my enjoyment",0
140,"""My primary resistance is that I cannot afford to fund a second residence without significant impact on the kids (i.e., remove from private schooling, reduction in costly extracurricular activities).""","Cannot afford, schooling",1
141,"""This event has just added to my depressed state of late and makes me wonder how people can be so stupidly insensitive, especially as she is 'up there in age'.""","depressed state, stupidly insensitive",5
142,“I have hit a brick wall.”,"Hit a brick wall,",3
143,"""She makes me out to friends and family that I'm the wicked mother that has destroyed her.""","I’m the wicked mother that has destroyed her,",4
144,“I most probably wouldn't exist right now if they hadn't come into my life but now I feel like I'm the outcast of my family.”,"Feel like I’m the outcast of the family,",4
145,“After a year of job searching and no success I can't keep things the way they are.”,"Job searching, no success",1
146,"""Husband has had depression and anxiety, and refuses treatment. Our divorce discussions began 2 years ago when he was violent. He isn't violent now but can get mean (mean comments) when he's down. ""","depression and anxiety, divorce discussions, violent, mean comments",2
147,"""I find it hard to concentrate, I can't retain information, and I often find myself just staring into space, not knowing how long I've been doing it for.""","Hard, concentrate, information, knowing",0
148,I am seriously struggling. I literally have no money. Most of it goes to bills/food/meds/drs. I can’t afford half my bills/debt. I have a loan and I spoke to the bank about hardship and explained the situation and they said they could only give me 2 months pause and then I will still be overdue but they can't stop my payments or interest and if my situation doesn't change in two months they will start collection process.,"Seriously struggling, no money, bills, debts, loan, hardship, payments",1
149,“Our young adult son suffers anxiety and depression”,"Anxiety, depression",5
150," ""I don’t know how to deal with the pain, the loss, the sick feeling.”","sick feeling, pain, loss,",5
151,“I have been struggling to get out of the dreaded dark hole of 'doctor google or doctor youtube’.”,"struggling, dreaded dark hole",2
152,"""I lost my soul mate, the love of my life in a work place truck accident March 2018 on his birthday.”",lost my soul mate,2
153,I don't want to spend the rest of my life adjusting to the anxiety and depression to fight it. ,"adjusting, ",1
154,“I feel the need to have a man in my life so I married for the 3rd time.”,"Need to have a man in my life, married for the 3rd time,",4
155,“I have people around to support me but even though they’re well meaning I feel so distant and I guess it’s hard because most of them just don’t know what it’s like.”,"Feel so distant ,",4
156,"“I don't have anyone in my life who truly cares about me. I have a few friends, but not close ones. I just want to figure out what is so wrong with me that everyone hates me.”","Dont have anyone in my life who truly cares about me, what is so wrong with me, everyone hates me,",4
157,I have spent my life trying to find the right way to live so I don’t make a mistake (toxic shame - looking for praise as a form of love) to discover now that the whole meaning of life is to throw yourself into the mess and plough through it.,"Meaning, mess",2
158,"“Getting worse as in - more headaches/time off work/nausea/fear/anxiety/panic attacks - i am getting better as in i’m more confident to try new things and more aware of it, but find it very hard to relax.”","more headaches,nausea,fear,anxiety,panic attacks, find it very hard to relax,",3
159,"""I can't talk about it with anyone, my dad was borderline abusive so I've cut ties with him and the situation with my mother is barely better.""","Cant talk about it with anyone,dad was borderline abusive, cut ties with him, situation with my mother is barely better, ",4
160,"""So lonely and just crying.""",lonely and just crying,4
161,"“This conflict has also impacted my other siblings and I feel guilty about this, as I never wanted this conflict in the first place, or for it to impact anyone else.” ","Conflict, guilty about this,",4
162,"""I have been trying to explain my feeling to my few family and friends but it seems they have grown annoyed and uninterested with my concerns but I am desperate."" ","Trying to explain my feeling to my new family and friends, grown annoyed and uninterested with my concerns, I am desperate,",4
163,“I am at a point where it is really impacting on my own mental health and I do not know how to deal with him as I am constantly afraid of saying the wrong thing.”,"Do not know how to deal with him ,",4
164,"“I feel like this is slowly becoming my ""catch phrase"".I'm either depressed and feel like I might cry for no reason, or I'm stupidly angry for no reason I don't want to be this sad, angry person anymore. I want to be able to put my anger and sadness in a box and leave it there.”","Depressed, cry for no reason, stupidly angry for no reason, anger and sadness,",3
165,"""Coping with sadness that overcomes me in waves. I'm struggling to work through this, it makes me feel worthless and extremely sad.""","Coping with sadness, struggling to work through this, feel worthless, extremely sad,",5
166,"""I feel stressed. I feel overwhelmed. I feel emotionally tapped out.”","Stress, overwhelmed, emotionally tapped out",2
167,“I refuse to go back where I’ve been and will do all I can to stay well.”,"refuse to go back where I’ve been,",3
168,“Over the last year my depression has gotten a lot worse and my suicidal thoughts have come back with a vengeance. On top of this I’m feeling more confused and forgetful than normal. My hands are losing strength and I’ve been told it’s caused by my anxiety.”,"My hands are losing strength, anxiety, suicidal thoughts, ",3
169,"“I’m just worried that my dad will get more violent when she files the divorce and that he won’t stop harassing us.""","worried, more violent, harassing us",5
170,"“I have had a sensitive digestive system for a good portion of my life, not so much that I sought treatment, just things like indigestion with certain foods, bloating and the like.”","sensitive digestive system, indigestion with certain foods, bloating",3
171,"“I cry every day, struggle to get out of bed in the morning”","cry every day, struggle",2
172,"""Even my mum, step dad, sister and brother-in-law have no idea what I’m going through.""","Even my mum, step dad, sister and brother-in-law have no idea what I’m going through,",4
173,“I am quite frankly shitting myself.”,"shitting myself,",5
174,"“I feel like I’m on auto pilot , I’ve stopped cooking dinner , letting the kids order Uber eats at least 4 nights a week, I’ve gone from being the popular life of the party to not wanting to go anywhere.”","Stopped cooking dinner, auto pilot,",3
175,“No one asks how I am anymore in regards to my grief or loss. So I just have to pretend.”,"No one asks how I am anymore,",4
176,"“Along with my experiences with alcohol, I think another reason I might be a bit jealous is because I don't really have any good friends for myself.”"," I don't really have any good friends for myself,",4
177,"“now I feel more depressed than ever feel alone even though I have 2 kids and a husband. and really homesick.""","Depressed, homesick",5
178,"“I bottled it up for a long time, because I was scared. But I realised it’s not good to handle these things yourself. It’s important to talk to someone you trust and can confide in so the situation can be changed.”","bottled it up for a long time, scared, not good to handle, ",2
179,"""It's disorienting because I no longer care, which is unusual for me.""","disorienting, no longer care, unusual",2
180,"""I myself am very sick, pain conditions.""","very sick, pain conditions,",3
181," “My stress is causing me to have very bad panic attacks while driving. I might start out fine and then I feel like I can’t go above 50km because I’m going to lose control and want to break and stop.""",very bad panic attacks,3
182,"""I try to keep in mind that my memory was pretty bad just with the depression but I have noticed sometimes I am trying to find an answer to something that I am sure I would know and I just can't get to the answer.""","Memory was pretty bad, can’t get to the answer,",0
183,"“I'm feeling fragile. I'm finding myself withdrawing. Having a hard time sleeping, and when I do, I instantly wake up with a cracking head ache.”","Having a hard time sleeping, instantly wake up with a cracking head ache,",3
184,"“I said 'no' when friends have asked if i’m ok but its brushed over. I have cancelled family xmas saying I cant handle it. No ONE has checked in, not once”","Cancelled family, cant handle it,no one has checked in,",4
185,“I am alone . I have no family / close friends.”,"Alone, no family,",4
186,“I decided after my fathers passing to study through tafe nsw but after my mothers passing I can’t seem to function or seek right resources”,"Function, resources",0
187,"I feel panicked and stressed because I know none of these tasks are difficult, and it’s infuriating to not physically be able to get up and just do them","feel panicked, stressed, infuriating",0
188,"""I also wish people were more light hearted and that actions were still seen as louder than words, rather than controversial because you said something that should be forgotten about by tomorrow.""","Wish people were more light hearted,",4
189,“Been struggling with panic attacks and suicidality since primary school.”,panic attacks,3
190," “Can’t build deep friendships, can’t ask for help, can’t stay in jobs over long period of times, don’t have many friends and am distant in my family due to trust issues.”","Can’t build deep friendships, don’t have many friends, distant in my family,",4
191,“I don’t know why I’m struggling and it feels like I’m overreacting or doing it to myself.”,"struggling, overreacting",5
192,"""I am constantly stressed out due to living in a noisy, unsafe neighborhood, I was verbally assaulted by them too last year.""","Verbally assaulted, unsafe neighborhood,constanly stressed out, ",4
193,"I still dream of a better version of myself, living with purpose and sharing the weight of the responsibilities with my husband",weight of responsibilities,1
194,"“Being social is harder though because I don't feel like being near anyone who'll ask me how I am, then I have to be fake or just burst out crying.”","Being sociaal is harder, don’t like being near anyone, I have to be fake or just burst out crying,",4
195,"""I try and put on a brace face but some days I end up a crying mess in bed.""","try and put on a brace face, end up a crying mess",2
196,“We have little contact i am constantly anxious about this How do we get through to him and prevent him from going down this path. I’m trying to maintain the connection it’s devastating to see him make these choices.”,"We have little contact, I’m trying to maintain the connection",4
197,"“she has always suffered depression, self medicates with alcohol mainly but does use other drugs if available to her.”","suffered depression, self medicates with alcohol, does use other drugs,",3
198,"“Although my history of multiple trauma’s and childhood abuse caused specific responses in me from an early age, I thought I was normal and everyone was the same.”","multiple trauma’s, childhood abuse, specific responses",5
199,"My husband has been through hell and back with cancer, and continued health issues. The latest being coughing and snotting constantly - no end in sight - it’s been 5 months since it got bad.”","cancer and continued health issues, coughing and snotting constantly, no end in sight, ",3
200,"“I've been in bed mostly since Christmas day. I hate this time of year. It impacts my Mental health greatly. Making today worse, I have yet another rental inspection. These really take their toll on my OCD.”","been in bed mostly, impacts my Mental health, toll on my OCD,",3
201,“Hearing him shout distresses me.”,distresses,2
